Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
7SK,-,NONHSAG040596,-,-,l000001
7SL,-,NONHSAG014875,-,-,l000002
AC005586.2,-,-,-,-,l000003
AC005688.1,-,-,-,-,l000004
AC006427.1,-,-,-,-,l000005
AC007277.3,-,NONHSAG029787,-,-,l000006
AC007639.1,-,-,-,-,l000007
AC009518.4,-,NONHSAG048832,-,-,l000008
AC013402.2,-,NONHSAG028795,-,-,l000009
AC015994.1,-,-,-,-,l000010
AC016205.1,-,-,-,-,l000011
AC016251.2,-,-,-,-,l000012
AC020911.1,-,-,-,-,l000013
AC021755.4,-,-,-,-,l000014
AC022409.1,-,-,-,-,l000015
AC025171.1,-,NONHSAG040299,-,-,l000016
AC026462.2,-,-,-,-,l000017
AC073283.4,-,NONHSAG027686,-,-,l000018
AC074289.1,-,NONHSAG027951,-,-,l000019
AC091047.1,-,-,-,-,l000020
AC097532.1,-,-,-,-,l000021
AC098691.1,-,-,-,-,l000022
AL080249.2,-,-,-,-,l000023
AL109763.2,-,NONHSAG032461,-,-,l000024
AL162831.1,-,-,-,-,l000025
AL353660.1,-,-,-,-,l000026
AL354696.2,-,-,-,-,l000027
AL359220.1,-,-,-,-,l000028
AL590482.2,-,-,-,-,l000029
AL671710.1,-,-,-,-,l000030
Alu RNA,-,-,-,-,l000031
ANRASSF1,-,-,-,-,l000032
AP003486.1,-,-,-,-,l000033
B2 RNA,-,-,-,-,l000034
BC200,-,NONHSAT070572,-,-,l000035
BCAR4,-,NONHSAG018621,-,-,l000036
BCYRN1,-,NONHSAG027692,-,-,l000037
BCYRN1P2,-,-,-,-,l000038
BDNFOS,-,-,-,-,l000039
C1orf97,-,-,-,-,l000040
C6orf176,-,-,-,-,l000041
CCAT2,-,-,-,-,l000042
CDKN2B-AS1,-,NONHSAG051899,-,-,l000043
Coxsackievirus B3(CVB3) RNA,-,-,-,-,l000044
CR612700,-,-,-,-,l000045
CTD-2049J23.2,-,NONHSAG036523,-,-,l000046
GAS5,-,NONHSAG003504,-,-,l000047
GHET1,-,-,-,-,l000048
h19,-,NONHSAG007409,-,-,l000049
HEIH,-,-,-,-,l000050
HOTAIR,-,NONHSAG011264,-,-,l000051
HOTTIP,-,NONHSAG047197,-,-,l000052
hTR,-,NONHSAG036615,-,-,l000053
HULC,-,NONHSAG042970,-,-,l000054
hY1,-,NONHSAT123989,-,-,l000055
hY3,-,NONHSAT123988,-,-,l000056
linc1992,-,-,-,-,l000057
linc-MD1,-,-,-,-,l000058
lincRNA-p21,-,-,-,-,l000059
linc-UBC1,-,-,-,-,l000060
LL0XNC01-157D4.1,-,-,-,-,l000061
Llme23,-,-,-,-,l000062
lncRNA-GAS5,-,-,-,-,l000063
MALAT1,-,NONHSAG008675,-,-,l000064
Microrna-124,-,-,-,-,l000065
microRNA-31,-,-,-,NONCODE,l000066
miR-135,-,-,-,-,l000067
MiR-185,-,-,-,NONCODE,l000068
MiR-200a,-,-,-,-,l000069
miR-216,-,-,-,-,l000070
MIR374AHG,-,-,-,-,l000071
miR-8485,-,-,-,-,l000072
MiR-9,-,-,-,-,l000073
nc886(pre-miR-886 or vtRNA2-1),-,-,-,-,l000074
NCRNA00188,-,-,-,-,l000075
NCRNA00275,-,-,-,-,l000076
NEAT1,HSALNG0084892,NONHSAG008670.3,ENSG00000245532.9,NR_028272,l000077
NEAT1,-,NONHSAG008670,-,-,l000078
NEAT1_2,-,-,-,-,l000079
NeST,-,-,-,-,l000080
NRON,-,NONHSAG053456,-,-,l000081
PAN RNA,-,-,-,-,l000082
PCAT1,-,NONHSAG051246,-,-,l000083
PCNA-AS1,-,-,-,-,l000084
PVT1,-,NONHSAG051258,-,-,l000085
RMRP,-,NONHSAG052119,-,-,l000086
RP11-203B9.4,-,NONHSAG044006,-,-,l000087
RP11-255B23.3,-,-,-,-,l000088
RP11-276H19.1,-,NONHSAG052726,-,-,l000089
RP11-354P17.9,-,-,-,-,l000090
RP11-453E17.1,-,NONHSAG038090,-,-,l000091
RP11-554F20.1,-,NONHSAG053032,-,-,l000092
RP11-622O11.2,-,-,-,-,l000093
RP11-696N14.1,-,NONHSAG038486,-,-,l000094
RP11-712B9.2,-,NONHSAG009415,-,-,l000095
RP11-768F21.1,-,NONHSAG012484,-,-,l000096
RP11-8L2.1,-,NONHSAG038350,-,-,l000097
RP3-410C9.1,-,-,-,-,l000098
RP3-487J7.2,-,-,-,-,l000099
RP4-564F22.2,-,-,-,-,l000100
RP5-1043L13.1,-,NONHSAG032186,-,-,l000101
RP5-1182A14.1,-,-,-,-,l000102
NONHSAG050539,-,NONHSAG050539,-,-,l000103
AC083843.1,-,NONHSAG051357,-,-,l000104
CASC7,-,NONHSAG051400,-,-,l000105
NONHSAG051650,-,NONHSAG051650,-,-,l000106
NONHSAG051813,-,NONHSAG051813,-,-,l000107
LOC100506710,-,NONHSAG052155,-,-,l000108
NONHSAG052186,-,NONHSAG052186,-,-,l000109
NONHSAG035911,-,NONHSAG035911,-,-,l000110
RP11-2B6.3,-,NONHSAG052890,-,-,l000111
NONHSAG053057,-,NONHSAG053057,-,-,l000112
NONHSAG053377,-,NONHSAG053377,-,-,l000113
TUG1,-,NONHSAG033691,-,-,l000114
NONHSAG053890,-,NONHSAG053890,-,-,l000115
MT-RNR2,-,NONHSAG053892,-,-,l000116
NONHSAG053894,-,NONHSAG053894,-,-,l000117
NONHSAG053895,-,NONHSAG053895,-,-,l000118
NONHSAG053896,-,NONHSAG053896,-,-,l000119
NONHSAG053897,-,NONHSAG053897,-,-,l000120
XIST,-,NONHSAG054780,-,-,l000121
JPX,-,NONHSAG054784,-,-,l000122
Ftx,-,NONHSAG054788,-,-,l000123
NONHSAG054826,-,NONHSAG054826,-,-,l000124
RP6-24A23.7,-,NONHSAG055086,-,-,l000125
hsa-mir-6723,-,NONHSAG000034,-,-,l000126
NONHSAG000329,-,NONHSAG000329,-,-,l000127
NONHSAG000442,-,NONHSAG000442,-,-,l000128
RP5-1057J7.6,-,NONHSAG000648,-,-,l000129
NONHSAG000701,-,NONHSAG000701,-,-,l000130
SFPQ,-,NONHSAG001012,-,-,l000131
RP1-39G22.7,-,NONHSAG001146,-,-,l000132
LOC100130557,-,NONHSAG001167,-,-,l000133
NONHSAG001935,-,NONHSAG001935,-,-,l000134
RP5-1014C4.3,-,NONHSAG002067,-,-,l000135
RP4-714D9.5,-,NONHSAG002204,-,-,l000136
RPI001_1003913,-,NONHSAG002441,-,-,l000137
NONHSAG002759,-,NONHSAG002759,-,-,l000138
NONHSAG002891,-,NONHSAG002891,-,-,l000139
NONHSAG003394,-,NONHSAG003394,-,-,l000140
RC3H1-IT1,-,NONHSAG003512,-,-,l000141
NONHSAG003821,-,NONHSAG003821,-,-,l000142
MIR181A1HG,-,NONHSAG003880,-,-,l000143
NONHSAG048962,-,NONHSAG048962,-,-,l000144
NONHSAG004391,-,NONHSAG004391,-,-,l000145
RPI001_1005473,-,NONHSAG004499,-,-,l000146
NONHSAG004615,-,NONHSAG004615,-,-,l000147
NONHSAG033712,-,NONHSAG033712,-,-,l000148
NONHSAG010542,-,NONHSAG010542,-,-,l000149
NONHSAG004866,-,NONHSAG004868,-,-,l000150
NONHSAG004977,-,NONHSAG004977,-,-,l000151
NONHSAG028816,-,NONHSAG028816,-,-,l000152
ZNF271,-,NONHSAG023683,-,-,l000153
RP11-390B4.5,-,NONHSAG005331,-,-,l000154
NONHSAG005343,-,NONHSAG005343,-,-,l000155
LINC00202-1,-,NONHSAG005455,-,-,l000156
NONHSAG005467,-,NONHSAG005467,-,-,l000157
CTD-2647L4.4,-,NONHSAG049868,-,-,l000158
RP11-305E6.4,-,NONHSAG005523,-,-,l000159
ZEB1-AS1,-,NONHSAG005548,-,-,l000160
ZNF37BP,-,NONHSAG005688,-,-,l000161
NONHSAG005989,-,NONHSAG005989,-,-,l000162
RP11-222A11.1,-,NONHSAG006038,-,-,l000163
NUTM2A-AS1,-,NONHSAG006435,-,-,l000164
CTB-89H12.4,-,NONHSAG041905,-,-,l000165
NONHSAG006570,-,NONHSAG006570,-,-,l000166
NONHSAG006873,-,NONHSAG006873,-,-,l000167
NONHSAG006908,-,NONHSAG006908,-,-,l000168
NONHSAG006971,-,NONHSAG006971,-,-,l000169
LINC00958,-,NONHSAG007695,-,-,l000170
NONHSAG008125,-,NONHSAG008125,-,-,l000171
SNHG1,-,NONHSAG008552,-,-,l000172
RAB30-AS1,-,NONHSAG009222,-,-,l000173
NONHSAG009234,-,NONHSAG009234,-,-,l000174
NONHSAG009340,-,NONHSAG009340,-,-,l000175
AC007390.5,-,NONHSAG027476,-,-,l000176
RP11-890B15.2,-,NONHSAG010061,-,-,l000177
NONHSAG010160,-,NONHSAG010160,-,-,l000178
SLC2A3P1,-,NONHSAG042176,-,-,l000179
NONHSAG010565,-,NONHSAG010565,-,-,l000180
NONHSAG010634,-,NONHSAG010634,-,-,l000181
NONHSAG012433,-,NONHSAG012433,-,-,l000182
NONHSAG011425,-,NONHSAG011425,-,-,l000183
NONHSAG047292,-,NONHSAG047292,-,-,l000184
NONHSAG011781,-,NONHSAG011781,-,-,l000185
C12orf79,-,NONHSAG011893,-,-,l000186
NONHSAG011964,-,NONHSAG011964,-,-,l000187
NONHSAG012161,-,NONHSAG012161,-,-,l000188
NONHSAG012566,-,NONHSAG012566,-,-,l000189
NONHSAG012658,-,NONHSAG012658,-,-,l000190
NONHSAG013185,-,NONHSAG013185,-,-,l000191
NONHSAG013343,-,NONHSAG013343,-,-,l000192
NONHSAG013514,-,NONHSAG013515,-,-,l000193
DIAPH3,-,NONHSAG013642,-,-,l000194
NONHSAG013766,-,NONHSAG013766,-,-,l000195
MIR1792,-,NONHSAG013949,-,-,l000196
NONHSAG015840,-,NONHSAG015840,-,-,l000197
NONHSAG015898,-,NONHSAG015898,-,-,l000198
HERC2P2,-,NONHSAG016264,-,-,l000199
DLEU1,-,NONHSAG013524,-,-,l000200
LINC00984,-,NONHSAG016589,-,-,l000201
OIP5-AS1,-,NONHSAG016639,-,-,l000202
NONHSAG016687,-,NONHSAG016687,-,-,l000203
FLJ10038,-,NONHSAG016860,-,-,l000204
GABPB1-AS1,-,NONHSAG016861,-,-,l000205
TMOD3,-,NONHSAG016908,-,-,l000206
NONHSAG016966,-,NONHSAG016966,-,-,l000207
NONHSAG017346,-,NONHSAG017346,-,-,l000208
RP11-1006G14.4,-,NONHSAG017356,-,-,l000209
HOXD-AS1,-,NONHSAG029906,-,-,l000210
NONHSAG017675,-,NONHSAG017675,-,-,l000211
CTD-2313J17.5,-,NONHSAG017947,-,-,l000212
CHD2,-,NONHSAG017952,-,-,l000213
RP11-473I1.10,-,NONHSAG018538,-,-,l000214
ZSCAN12P1,-,NONHSAG043300,-,-,l000215
RP11-452L6.1,-,NONHSAG019154,-,-,l000216
NONHSAG019270,-,NONHSAG019270,-,-,l000217
CRNDE,-,NONHSAG019500,-,-,l000218
NBPF1,-,NONHSAG000482,-,-,l000219
MIR4720,-,NONHSAG020099,-,-,l000220
NONHSAG020638,-,NONHSAG020638,-,-,l000221
C17orf76-AS1,-,NONHSAG020957,-,-,l000222
AC003102.3,-,NONHSAG021921,-,-,l000223
CRHR1-IT1,-,NONHSAG022004,-,-,l000224
NONHSAG022204,-,NONHSAG022204,-,-,l000225
SNHG16,-,NONHSAG022825,-,-,l000226
LINC00667,-,NONHSAG023258,-,-,l000227
NONHSAG023703,-,NONHSAG023703,-,-,l000228
NONHSAG024467,-,NONHSAG024467,-,-,l000229
CTC-325H20.2,-,NONHSAG024733,-,-,l000230
ZNF121,-,NONHSAG024742,-,-,l000231
LINC00662,-,NONHSAG025376,-,-,l000232
ZNF529,-,NONHSAG025657,-,-,l000233
CTD-2162K18.5,-,NONHSAG025668,-,-,l000234
NONHSAG025677,-,NONHSAG025677,-,-,l000235
NONHSAG025701,-,NONHSAG025701,-,-,l000236
NONHSAG025977,-,NONHSAG025977,-,-,l000237
ZNF542,-,NONHSAG026624,-,-,l000238
NONHSAG026659,-,NONHSAG026659,-,-,l000239
NONHSAG027412,-,NONHSAG027412,-,-,l000240
NONHSAG027419,-,NONHSAG027419,-,-,l000241
GPR75-ASB3,-,NONHSAG027758,-,-,l000242
ZNF638,-,NONHSAG028148,-,-,l000243
NONHSAG028819,-,NONHSAG028819,-,-,l000244
NYX,-,NONHSAG054609,-,-,l000245
ZEB2,-,NONHSAG029463,-,-,l000246
NONHSAG029769,-,NONHSAG029769,-,-,l000247
AC009948.5,-,NONHSAG029952,-,-,l000248
CLK1,-,NONHSAG030224,-,-,l000249
GCSHP3,-,NONHSAG030337,-,-,l000250
NONHSAG030396,-,NONHSAG030396,-,-,l000251
RP11-16P6.1,-,NONHSAG030637,-,-,l000252
NONHSAG031167,-,NONHSAG031167,-,-,l000253
RP5-1085F17.3,-,NONHSAG031617,-,-,l000254
LINC00657,-,NONHSAG031696,-,-,l000255
SNHG17,-,NONHSAG031749,-,-,l000256
ZFAS1,-,NONHSAG031976,-,-,l000257
NONHSAG032574,-,NONHSAG032574,-,-,l000258
NONHSAG032606,-,NONHSAG032606,-,-,l000259
BX322557.10,-,NONHSAG033071,-,-,l000260
LL22NC03-80A10.6,-,NONHSAG033416,-,-,l000261
TTC28-AS1,-,NONHSAG033611,-,-,l000262
SRGAP3,-,NONHSAG034363,-,-,l000263
FGD5-AS1,-,NONHSAG034508,-,-,l000264
FOXP1-IT1,-,NONHSAG035401,-,-,l000265
NONHSAG035942,-,NONHSAG035942,-,-,l000266
RP11-145F16.2,-,NONHSAG036383,-,-,l000267
RP11-255C15.3,-,NONHSAG036745,-,-,l000268
NONHSAG036978,-,NONHSAG036978,-,-,l000269
NONHSAG037513,-,NONHSAG037513,-,-,l000270
NONHSAG037629,-,NONHSAG037629,-,-,l000271
NONHSAG037709,-,NONHSAG037709,-,-,l000272
NONHSAG038290,-,NONHSAG038290,-,-,l000273
NONHSAG038417,-,NONHSAG038417,-,-,l000274
NONHSAG039225,-,NONHSAG039225,-,-,l000275
NONHSAG039241,-,NONHSAG039241,-,-,l000276
RP11-46C20.1,-,NONHSAG040081,-,-,l000277
