Protein,p_ID
HEXIM1,p000001
Tat,p000002
CDK9,p000003
hLARP7,p000004
HMGA1,p000005
SRP19,p000006
SRP54,p000007
APOBEC3F,p000008
EWSR1,p000009
PolII,p000010
PRC2,p000011
pollII,p000012
SSB,p000013
PABPC1,p000014
SRP14,p000015
SRP9,p000016
FMR1,p000017
PNUTS,p000018
SNIP1,p000019
SRP9/14 heterodimer,p000020
EIF4A1,p000021
PABP,p000022
TARDBP,p000023
TCF7L2,p000024
PRC1,p000025
CBX7,p000026
SUZ12,p000027
EIF4G1,p000028
EIF3B,p000029
EIF4B,p000030
PTB,p000031
NR3C1,p000032
IGF2BP1,p000033
ISM1,p000034
HNRNPU,p000035
EZH2,p000036
PCBP1,p000037
KDM1A,p000038
REST,p000039
CoREST,p000040
Wdr5,p000041
Mll1,p000042
TERT,p000043
DKC1,p000044
STAU1,p000045
hnRNPC,p000046
RPL22,p000047
TEP1,p000048
HNRNPA1,p000049
PINX1,p000050
Ro60,p000051
NCL,p000052
hnRNPI,p000053
HNRNPK,p000054
IFN-伪,p000055
ELAV1,p000056
HIF-1ä¼ª,p000057
VHL,p000058
PSF,p000059
1TMW_A,p000060
AAF22034.1,p000061
ANXA2,p000062
SR140,p000063
DBHS,p000064
FLOT1,p000065
SATB2,p000066
CXCL12,p000067
VEGFA,p000068
WNT5A,p000069
NRXN1,p000070
TDP-43,p000071
MMP2,p000072
PKR,p000073
SMARCA4,p000074
SMARCA2,p000075
Proteins of the Dros,p000076
PSPC1,p000077
PSP-1,p000078
FUS,p000079
LRRK2,p000080
E2F7,p000081
Rpp20,p000082
RPP29,p000083
RPP38,p000084
hPop1,p000085
Rpp25,p000086
RPP21,p000087
ELAVL1,p000088
SF1,p000089
RUNX1,p000090
SNF5,p000091
Staufen1,p000092
GTF2I,p000093
RBM8A,p000094
YWHAZ,p000095
ACIN1,p000096
ALDR,p000097
AN32A,p000098
ANP32B,p000099
PRMT1,p000100
ANX11,p000101
ASSY,p000102
BCLAF1,p000103
BRE1A,p000104
RNF40,p000105
CD11B,p000106
CLIC1,p000107
CN166,p000108
CFL1,p000109
CPSF5,p000110
CRNL1,p000111
C19orf43,p000112
CSNK2A1,p000113
CTBL1,p000114
DAZP1,p000115
DDX5,p000116
DNJC8,p000117
DNJC9,p000118
POLD1,p000119
