NoncodeGeneID,LncbookGeneID,l_ID
NoncodeGeneID,LncbookGeneID,l000001
NONHSAG049124.2,HSALNG0062254,l000002
NONHSAG047319.2,HSALNG0057178,l000003
NONHSAG087418.2,HSALNG0033093,l000004
NONHSAG029790.3,HSALNG0020305,l000005
NONHSAG022655.3,HSALNG0118540,l000006
NONHSAG048832.3,HSALNG0061418,l000007
NONHSAG028795.3,HSALNG0017514,l000008
NONHSAG016514.3,HSALNG0105023,l000009
NONHSAG075131.2,HSALNG0121077,l000010
NONHSAG070960.2,HSALNG0108391,l000011
NONHSAG024979.2,HSALNG0124349,l000012
NONHSAG070257.2,HSALNG0105193,l000013
NONHSAG025352.3,HSALNG0125033,l000014
NONHSAG090943.2,HSALNG0041494,l000015
NONHSAG019462.2,HSALNG0111460,l000016
NONHSAG027682.2,HSALNG0014732,l000017
NONHSAG027951.2,HSALNG0015452,l000018
NONHSAG099530.1,HSALNG0150241,l000019
NONHSAG029331.3,HSALNG0018958,l000020
-,HSALNG0005160,l000021
NONHSAG031749.3,HSALNG0129980,l000022
NONHSAG032461.3,HSALNG0132142,l000023
NONHSAG015073.2,HSALNG0101546,l000024
NONHSAG013770.3,HSALNG0097939,l000025
NONHSAG013319.3,HSALNG0096600,l000026
NONHSAG015169.3,HSALNG0101765,l000027
NONHSAG045376.2,HSALNG0055052,l000028
NONHSAG034227.3,-,l000029
NONHSAG018621.3,HSALNG0144675,l000030
NONHSAG004197.3,HSALNG0010286,l000031
NONHSAG045383.2,HSALNG0055052,l000032
NONHSAG036523.3,HSALNG0030208,l000033
NONHSAG003504.3,HSALNG0008545,l000034
NONHSAG007409.2,HSALNG0082178,l000035
NONHSAG036615.2,-,l000036
NONHSAG055008.3,HSALNG0139259,l000037
NONHSAG063480.2,HSALNG0084880,l000038
NONHSAG103817.2,HSALNG0138610,l000039
NONHSAG020957.2,HSALNG0114857,l000040
NONHSAG081583.2,HSALNG0130661,l000041
NONHSAG100889.2,HSALNG0068477,l000042
NONHSAG044006.2,HSALNG0050810,l000043
NONHSAG099742.2,HSALNG0068395,l000044
NONHSAG052726.3,HSALNG0072437,l000045
NONHSAG102572.2,HSALNG0070362,l000046
-,HSALNG0034888,l000047
NONHSAG053033.3,HSALNG0073236,l000048
NONHSAG051231.2,HSALNG0068359,l000049
NONHSAG038486.3,HSALNG0035985,l000050
NONHSAG009415.2,HSALNG0086562,l000051
NONHSAG012484.2,HSALNG0094471,l000052
NONHSAG111830.1,HSALNG0035595,l000053
NONHSAG031557.3,HSALNG0129429,l000054
NONHSAG093517.2,HSALNG0052788,l000055
NONHSAG032190.3,HSALNG0131386,l000056
NONHSAG000477.3,HSALNG0001209,l000057
NONHSAG059768.2,HSALNG0009511,l000058
NONHSAG048962.2,-,l000059
NONHSAG013515.3,HSALNG0097094,l000060
NONHSAG068402.2,HSALNG0098601,l000061
NONHSAG013524.2,HSALNG0097105,l000062
NONHSAG072176.2,HSALNG0111608,l000063
NONHSAG020099.2,HSALNG0112990,l000064
NONHSAG073380.2,HSALNG0118851,l000065
NONHSAG025379.3,HSALNG0125113,l000066
NONHSAG029468.2,HSALNG0019362,l000067
NONHSAG029952.3,HSALNG0020702,l000068
NONHSAG033390.3,HSALNG0134280,l000069
NONHSAG033611.3,HSALNG0134754,l000070
NONHSAG036383.2,HSALNG0029787,l000071
NONHSAG040081.3,HSALNG0040781,l000072
NONHSAG093517.2,HSALNG0052787,l000073
NONHSAG048073.3,HSALNG0059170,l000074
NONHSAG048057.3,HSALNG0059132,l000075
NONHSAG007080.2,HSALNG0081239,l000076
NONHSAG030469.2,HSALNG0022111,l000077
NONHSAG007767.2,HSALNG0082946,l000078
NONHSAG015097.3,HSALNG0101614,l000079
NONHSAG055499.3,HSALNG0140624,l000080
NONHSAG006341.3,HSALNG0079152,l000081
NONHSAG041023.3,HSALNG0043527,l000082
NONHSAG041473.3,HSALNG0044712,l000083
NONHSAG043391.3,HSALNG0049109,l000084
NONHSAG029791.3,HSALNG0020310,l000085
NONHSAG002651.3,-,l000086
NONHSAG025958.2,HSALNG0126395,l000087
NONHSAG037679.2,HSALNG0033494,l000088
NONHSAG038059.2,HSALNG0034781,l000089
NONHSAG038091.3,HSALNG0034888,l000090
