Protein,p_ID
tarName,p000001
EWSR1,p000002
HNRNPU,p000003
DKC1,p000004
hnRNPC,p000005
HNRNPA1,p000006
PSF,p000007
SFRS1,p000008
DBHS,p000009
SMARCA4,p000010
TARDBP,p000011
ELAVL1,p000012
HNRPG,p000013
hnRNPM,p000014
IF2B1,p000015
IGF2BP3,p000016
SSB,p000017
MOV10,p000018
TIAL1,p000019
YTDC1,p000020
U2AF2,p000021
FUS,p000022
U2AF1,p000023
SAKI,p000024
CPSF6,p000025
WDR33,p000026
XPO5,p000027
FBL,p000028
SRSF9,p000029
SFRS7,p000030
SFRS2,p000031
AGO2,p000032
Coilin,p000033
RBPMS,p000034
hnRNPL,p000035
ADAR,p000036
LIN28B,p000037
PUM2,p000038
HNRNPD,p000039
IGF2BP2,p000040
EIF3G,p000041
QKI,p000042
ORF57,p000043
TNRC6A,p000044
RPS11,p000045
ZFP36,p000046
PRPF8,p000047
DDX42,p000048
Caprin1,p000049
PUS1,p000050
PCBP2,p000051
DGCR8,p000052
MATR3,p000053
TARBP2,p000054
DDX6,p000055
HNRNPUL1,p000056
AKAP8L,p000057
YTHDF1,p000058
NPM1,p000059
TBRG4,p000060
TIA1,p000061
IGF2BP1,p000062
TAF15,p000063
EIF2C1,p000064
PTBP1,p000065
RBFOX2,p000066
RBM47,p000067
HNRH1,p000068
hnRNPA2B1,p000069
HNRNPF,p000070
EZH2,p000071
CPSF7,p000072
CPSF4,p000073
CPSF3,p000074
CPSF2,p000075
CPSF1,p000076
CSTF2,p000077
CSTF2T,p000078
C17ORF85,p000079
ALKBH5,p000080
RTCB,p000081
ZC3H7B,p000082
CPSF5,p000083
FMR1,p000084
FXR2,p000085
FXR1,p000086
eIF4AIII,p000087
LIN28A,p000088
YTHDF2,p000089
Ataxin-2,p000090
TDP-43,p000091
RBM5,p000092
RBM6,p000093
RBM10,p000094
UPF1,p000095
METTL3,p000096
BCCIP,p000097
BUD13,p000098
DDX3X,p000099
DDX55,p000100
DDX59,p000101
DHX30,p000102
EIF3D,p000103
EIF3H,p000104
FAM120A,p000105
FAKD2,p000106
FKBP4,p000107
FUBP3,p000108
GRSF1,p000109
GRWD1,p000110
HNRPK,p000111
ILF3,p000112
LARP4,p000113
hLARP7,p000114
LSM11,p000115
NCBP2,p000116
NKRF,p000117
NOL12,p000118
NOLC1,p000119
PPIG,p000120
PRP17,p000121
RBM15,p000122
RBM22,p000123
RNC,p000124
Ro60,p000125
RPB7,p000126
RPS3,p000127
SAP61,p000128
SAP49,p000129
SLTM,p000130
SND1,p000131
SMNDC1,p000132
SUGP2,p000133
SUV3,p000134
T2FA,p000135
TCP4,p000136
TRA2A,p000137
U5S1,p000138
