Gene ID,Symbol,Protein,Cell Line
HSALNG0000002,-,BUD13,K562
HSALNG0000002,-,AQR,K562
HSALNG0000002,-,PRPF4,HepG2
HSALNG0000002,-,DDX24,K562
HSALNG0000002,-,SF3B4,K562
HSALNG0000002,-,EFTUD2,HepG2
HSALNG0000002,-,EFTUD2,K562
HSALNG0000002,-,CSTF2T,K562
HSALNG0000002,-,SMNDC1,K562
HSALNG0000003,-,PRPF4,HepG2
HSALNG0000003,-,DDX24,K562
HSALNG0000003,-,SF3B4,K562
HSALNG0000003,-,EFTUD2,HepG2
HSALNG0000003,-,EFTUD2,K562
HSALNG0000003,-,CSTF2T,K562
HSALNG0000003,-,SMNDC1,K562
HSALNG0142075,-,HNRNPL,K562
HSALNG0000013,-,RBM15,K562
HSALNG0000013,-,YBX3,K562
HSALNG0000014,-,DDX24,K562
HSALNG0000022,LINC00115,ZNF622,K562
HSALNG0000022,LINC00115,RBM15,K562
HSALNG0000022,LINC00115,DHX30,K562
HSALNG0000022,LINC00115,DDX52,K562
HSALNG0000022,LINC00115,SUPV3L1,K562
HSALNG0000022,LINC00115,MATR3,K562
HSALNG0000022,LINC00115,ILF3,K562
HSALNG0000022,LINC00115,FASTKD2,K562
HSALNG0000022,LINC00115,FASTKD2,HepG2
HSALNG0000022,LINC00115,TBRG4,K562
HSALNG0000022,LINC00115,DHX30,HepG2
HSALNG0000022,LINC00115,TROVE2,K562
HSALNG0000022,LINC00115,DDX59,HepG2
HSALNG0000022,LINC00115,PTBP1,K562
HSALNG0000022,LINC00115,GRSF1,HepG2
HSALNG0000022,LINC00115,SUPV3L1,HepG2
HSALNG0000022,LINC00115,AKAP1,K562
HSALNG0000022,LINC00115,GEMIN5,K562
HSALNG0000022,LINC00115,EIF3D,HepG2
HSALNG0000022,LINC00115,ILF3,HepG2
HSALNG0000022,LINC00115,SAFB,HepG2
HSALNG0000022,LINC00115,XPO5,HepG2
HSALNG0000022,LINC00115,PHF6,K562
HSALNG0000022,LINC00115,AGGF1,K562
HSALNG0000022,LINC00115,EFTUD2,K562
HSALNG0000022,LINC00115,HNRNPL,K562
HSALNG0000022,LINC00115,AQR,K562
HSALNG0000022,LINC00115,SAFB,K562
HSALNG0000028,-,DHX30,K562
HSALNG0000028,-,DDX52,K562
HSALNG0000028,-,SUPV3L1,K562
HSALNG0000028,-,ILF3,K562
HSALNG0000028,-,FASTKD2,K562
HSALNG0000028,-,FASTKD2,HepG2
HSALNG0000028,-,TBRG4,K562
HSALNG0000028,-,DHX30,HepG2
HSALNG0000028,-,DDX59,HepG2
HSALNG0000028,-,GRSF1,HepG2
HSALNG0000028,-,SUPV3L1,HepG2
HSALNG0000028,-,TROVE2,K562
HSALNG0000029,-,DHX30,HepG2
HSALNG0000041,"LINC01128,FAM87B",TARDBP,K562
HSALNG0000041,"LINC01128,FAM87B",BCLAF1,HepG2
HSALNG0000041,"LINC01128,FAM87B",SUGP2,HepG2
HSALNG0000041,"LINC01128,FAM87B",SAFB2,K562
HSALNG0000041,"LINC01128,FAM87B",PCBP2,HepG2
HSALNG0000041,"LINC01128,FAM87B",SLTM,K562
HSALNG0000041,"LINC01128,FAM87B",HNRNPL,HepG2
HSALNG0000041,"LINC01128,FAM87B",RBFOX2,HepG2
HSALNG0000042,-,AKAP1,K562
HSALNG0000042,-,GEMIN5,K562
HSALNG0000042,-,EIF3D,HepG2
HSALNG0000042,-,DHX30,K562
HSALNG0000042,-,DDX52,K562
HSALNG0000042,-,SAFB,HepG2
HSALNG0000042,-,PHF6,K562
HSALNG0000042,-,TBRG4,K562
HSALNG0000042,-,EFTUD2,K562
HSALNG0000042,-,SAFB,K562
HSALNG0000051,-,EWSR1,K562
HSALNG0000051,-,NONO,K562
HSALNG0000051,-,FAM120A,K562
HSALNG0000051,-,PRPF8,K562
HSALNG0000051,-,GTF2F1,K562
HSALNG0000051,-,SLTM,K562
HSALNG0000051,-,CSTF2T,K562
HSALNG0000065,-,NKRF,HepG2
HSALNG0000065,-,CSTF2T,HepG2
HSALNG0000078,-,CSTF2T,HepG2
HSALNG0000078,-,CSTF2T,K562
HSALNG0000078,-,GTF2F1,HepG2
HSALNG0000078,-,FAM120A,HepG2
HSALNG0000078,-,PRPF4,HepG2
HSALNG0000078,-,FASTKD2,HepG2
HSALNG0000078,-,EWSR1,K562
HSALNG0000078,-,RBFOX2,HepG2
HSALNG0000078,-,GTF2F1,K562
HSALNG0000078,-,ILF3,K562
HSALNG0000078,-,PCBP2,HepG2
HSALNG0000078,-,HNRNPK,HepG2
HSALNG0000078,-,DDX59,HepG2
HSALNG0000078,-,TARDBP,K562
HSALNG0000078,-,FAM120A,K562
HSALNG0000078,-,AKAP8L,K562
HSALNG0000078,-,EIF4G2,K562
HSALNG0000078,-,XPO5,HepG2
HSALNG0000078,-,FASTKD2,K562
HSALNG0000078,-,SLTM,K562
