Gene ID,Symbol,Protein,Cell Line,ID Set
HSALNG0000002,-,BUD13,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,AQR,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,PRPF4,HepG2,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,DDX24,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,SF3B4,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,EFTUD2,HepG2,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,EFTUD2,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,CSTF2T,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000002,-,SMNDC1,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000002
HSALNG0000003,-,PRPF4,HepG2,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,DDX24,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,SF3B4,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,EFTUD2,HepG2,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,EFTUD2,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,CSTF2T,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0000003,-,SMNDC1,K562,NONHSAG000002.2;N/A;N/A;HSALNG0000003
HSALNG0142075,-,HNRNPL,K562,N/A;ENSG00000238009.6;N/A;HSALNG0142075
HSALNG0000013,-,RBM15,K562,NONHSAG000011.3;N/A;N/A;HSALNG0000013
HSALNG0000013,-,YBX3,K562,NONHSAG000011.3;N/A;N/A;HSALNG0000013
HSALNG0000014,-,DDX24,K562,NONHSAG000012.2;ENSG00000241860.7;N/A;HSALNG0000014
HSALNG0000022,LINC00115,ZNF622,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,RBM15,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,DHX30,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,DDX52,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,SUPV3L1,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,MATR3,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,ILF3,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,FASTKD2,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,FASTKD2,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,TBRG4,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,DHX30,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,TROVE2,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,DDX59,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,PTBP1,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,GRSF1,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,SUPV3L1,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,AKAP1,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,GEMIN5,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,EIF3D,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,ILF3,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,SAFB,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,XPO5,HepG2,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,PHF6,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,AGGF1,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,EFTUD2,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,HNRNPL,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,AQR,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000022,LINC00115,SAFB,K562,NONHSAG000046.3;ENSG00000225880.5;XR_017693;HSALNG0000022
HSALNG0000028,-,DHX30,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,DDX52,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,SUPV3L1,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,ILF3,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,FASTKD2,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,FASTKD2,HepG2,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,TBRG4,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,DHX30,HepG2,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,DDX59,HepG2,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,GRSF1,HepG2,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,SUPV3L1,HepG2,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000028,-,TROVE2,K562,NONHSAG000032.2;N/A;N/A;HSALNG0000028
HSALNG0000029,-,DHX30,HepG2,NONHSAG000034.2;N/A;N/A;HSALNG0000029
HSALNG0000041,"LINC01128,FAM87B",TARDBP,K562,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",BCLAF1,HepG2,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",SUGP2,HepG2,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",SAFB2,K562,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",PCBP2,HepG2,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",SLTM,K562,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",HNRNPL,HepG2,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000041,"LINC01128,FAM87B",RBFOX2,HepG2,NONHSAG000047.3;ENSG00000228794.10;NR_103536;HSALNG0000041
HSALNG0000042,-,AKAP1,K562,NONHSAG000049.3;N/A;N/A;HSALNG0000042
HSALNG0000042,-,GEMIN5,K562,NONHSAG000049.3;N/A;N/A;HSALNG0000042
HSALNG0000042,-,EIF3D,HepG2,NONHSAG000049.3;N/A;N/A;HSALNG0000042
HSALNG0000042,-,DHX30,K562,NONHSAG000049.3;N/A;N/A;HSALNG0000042
HSALNG0000042,-,DDX52,K562,NONHSAG000049.3;N/A;N/A;HSALNG0000042
HSALNG0000042,-,SAFB,HepG2,NONHSAG000049.3;N/A;N/A;HSALNG0000042
