Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
7SK,-,NONHSAG040596,-,-,l00000
7SL,-,NONHSAG014875,-,-,l00001
AC005586.2,-,-,-,-,l00002
AC005688.1,-,-,-,-,l00003
AC006427.1,-,-,-,-,l00004
AC007277.3,-,NONHSAG029787,-,-,l00005
AC007639.1,-,-,-,-,l00006
AC009518.4,-,NONHSAG048832,-,-,l00007
AC013402.2,-,NONHSAG028795,-,-,l00008
AC015994.1,-,-,-,-,l00009
AC016205.1,-,-,-,-,l00010
AC016251.2,-,-,-,-,l00011
AC020911.1,-,-,-,-,l00012
AC021755.4,-,-,-,-,l00013
AC022409.1,-,-,-,-,l00014
AC025171.1,-,NONHSAG040299,-,-,l00015
AC026462.2,-,-,-,-,l00016
AC073283.4,-,NONHSAG027686,-,-,l00017
AC074289.1,-,NONHSAG027951,-,-,l00018
AC091047.1,-,-,-,-,l00019
AC097532.1,-,-,-,-,l00020
AC098691.1,-,-,-,-,l00021
AL080249.2,-,-,-,-,l00022
AL109763.2,-,NONHSAG032461,-,-,l00023
AL162831.1,-,-,-,-,l00024
AL353660.1,-,-,-,-,l00025
AL354696.2,-,-,-,-,l00026
AL359220.1,-,-,-,-,l00027
AL590482.2,-,-,-,-,l00028
AL671710.1,-,-,-,-,l00029
Alu RNA,-,-,-,-,l00030
ANRASSF1,-,-,-,-,l00031
AP003486.1,-,-,-,-,l00032
B2 RNA,-,-,-,-,l00033
BC200,-,NONHSAT070572,-,-,l00034
BCAR4,-,NONHSAG018621,-,-,l00035
BCYRN1,-,NONHSAG027692,-,-,l00036
BCYRN1P2,-,-,-,-,l00037
BDNFOS,-,-,-,-,l00038
C1orf97,-,-,-,-,l00039
C6orf176,-,-,-,-,l00040
CCAT2,-,-,-,-,l00041
CDKN2B-AS1,-,NONHSAG051899,-,-,l00042
Coxsackievirus B3(CVB3) RNA,-,-,-,-,l00043
CR612700,-,-,-,-,l00044
CTD-2049J23.2,-,NONHSAG036523,-,-,l00045
GAS5,-,NONHSAG003504,-,-,l00046
GHET1,-,-,-,-,l00047
h19,-,NONHSAG007409,-,-,l00048
HEIH,-,-,-,-,l00049
HOTAIR,-,NONHSAG011264,-,-,l00050
HOTTIP,-,NONHSAG047197,-,-,l00051
hTR,-,NONHSAG036615,-,-,l00052
HULC,-,NONHSAG042970,-,-,l00053
hY1,-,NONHSAT123989,-,-,l00054
hY3,-,NONHSAT123988,-,-,l00055
linc1992,-,-,-,-,l00056
linc-MD1,-,-,-,-,l00057
lincRNA-p21,-,-,-,-,l00058
linc-UBC1,-,-,-,-,l00059
LL0XNC01-157D4.1,-,-,-,-,l00060
Llme23,-,-,-,-,l00061
lncRNA-GAS5,-,-,-,-,l00062
MALAT1,-,NONHSAG008675,-,-,l00063
Microrna-124,-,-,-,-,l00064
microRNA-31,-,-,-,NONCODE,l00065
miR-135,-,-,-,-,l00066
MiR-185,-,-,-,NONCODE,l00067
MiR-200a,-,-,-,-,l00068
miR-216,-,-,-,-,l00069
MIR374AHG,-,-,-,-,l00070
miR-8485,-,-,-,-,l00071
MiR-9,-,-,-,-,l00072
nc886(pre-miR-886 or vtRNA2-1),-,-,-,-,l00073
NCRNA00188,-,-,-,-,l00074
NCRNA00275,-,-,-,-,l00075
