Protein,p_ID
HEXIM1,p0000
Tat,p0001
CDK9,p0002
hLARP7,p0003
HMGA1,p0004
SRP19,p0005
SRP54,p0006
APOBEC3F,p0007
EWSR1,p0008
PolII,p0009
PRC2,p0010
pollII,p0011
SSB,p0012
PABPC1,p0013
SRP14,p0014
SRP9,p0015
FMR1,p0016
PNUTS,p0017
SNIP1,p0018
SRP9/14 heterodimer,p0019
EIF4A1,p0020
PABP,p0021
TARDBP,p0022
TCF7L2,p0023
PRC1,p0024
CBX7,p0025
SUZ12,p0026
EIF4G1,p0027
EIF3B,p0028
EIF4B,p0029
PTB,p0030
NR3C1,p0031
IGF2BP1,p0032
ISM1,p0033
HNRNPU,p0034
EZH2,p0035
PCBP1,p0036
KDM1A,p0037
REST,p0038
CoREST,p0039
Wdr5,p0040
Mll1,p0041
TERT,p0042
DKC1,p0043
STAU1,p0044
hnRNPC,p0045
RPL22,p0046
TEP1,p0047
HNRNPA1,p0048
PINX1,p0049
Ro60,p0050
NCL,p0051
hnRNPI,p0052
HNRNPK,p0053
IFN-伪,p0054
ELAV1,p0055
HIF-1ä¼ª,p0056
VHL,p0057
PSF,p0058
1TMW_A,p0059
AAF22034.1,p0060
ANXA2,p0061
SR140,p0062
DBHS,p0063
FLOT1,p0064
SATB2,p0065
CXCL12,p0066
VEGFA,p0067
WNT5A,p0068
NRXN1,p0069
TDP-43,p0070
MMP2,p0071
PKR,p0072
SMARCA4,p0073
SMARCA2,p0074
Proteins of the Dros,p0075
PSPC1,p0076
PSP-1,p0077
FUS,p0078
LRRK2,p0079
E2F7,p0080
Rpp20,p0081
RPP29,p0082
RPP38,p0083
hPop1,p0084
Rpp25,p0085
RPP21,p0086
ELAVL1,p0087
SF1,p0088
RUNX1,p0089
SNF5,p0090
Staufen1,p0091
GTF2I,p0092
RBM8A,p0093
YWHAZ,p0094
ACIN1,p0095
ALDR,p0096
AN32A,p0097
ANP32B,p0098
PRMT1,p0099
ANX11,p0100
ASSY,p0101
BCLAF1,p0102
BRE1A,p0103
RNF40,p0104
CD11B,p0105
CLIC1,p0106
CN166,p0107
CFL1,p0108
CPSF5,p0109
CRNL1,p0110
C19orf43,p0111
CSNK2A1,p0112
CTBL1,p0113
DAZP1,p0114
DDX5,p0115
DNJC8,p0116
DNJC9,p0117
POLD1,p0118
DPOD2,p0119
ADAR,p0120
DX39A,p0121
DX39B,p0122
DYL1,p0123
ECM29,p0124
FA50A,p0125
FIP1,p0126
FDPS,p0127
FUBP2,p0128
GNB2L1,p0129
GEMI5,p0130
GPATCH8,p0131
GUAA,p0132
HNRDL,p0133
HNRH1,p0134
HNRH2,p0135
HNRH3,p0136
HNRNPUL1,p0137
HNRNPUL2,p0138
HNRLL,p0139
HNRNPD,p0140
HNRNPF,p0141
HNRPG,p0142
hnRNPL,p0143
hnRNPM,p0144
SYNCRIP,p0145
HNRNPR,p0146
HSP74,p0147
IDHC,p0148
IF2B1,p0149
IGF2BP3,p0150
eIF4AIII,p0151
IF4H,p0152
EIF5A,p0153
K1967,p0154
KAD1,p0155
KHDR1,p0156
KI67,p0157
LAP2A,p0158
LC7L2,p0159
LC7L3,p0160
LEG3,p0161
LKHA4,p0162
MARE1,p0163
RNMT,p0164
MAT2A,p0165
MGN,p0166
MINT,p0167
MRE11,p0168
MRT4,p0169
EMG1,p0170
NOG1,p0171
NPM1,p0172
PABPN1,p0173
SERBP1,p0174
PDIP3,p0175
PIMT,p0176
PNN,p0177
PM14,p0178
PNPH,p0179
PPP1CA,p0180
PPAC,p0181
PPHLN,p0182
PR38A,p0183
PR38B,p0184
PFN1,p0185
PRP16,p0186
PRPF19,p0187
PRP31,p0188
PRP4B,p0189
PRPF6,p0190
PRP8,p0191
RALY,p0192
RB12B,p0193
TAF15,p0194
RECQ1,p0195
RED,p0196
RFA1,p0197
RFA2,p0198
RL10,p0199
RL10A,p0200
RPL17,p0201
RL23,p0202
RPL23A,p0203
RL26,p0204
RL27,p0205
RL3,p0206
RPL30,p0207
RL31,p0208
RL32,p0209
RL4,p0210
RPL5,p0211
RL7,p0212
RPL7A,p0213
RNZ2,p0214
HNRNPA0,p0215
MOV10,p0216
HNRNPA3,p0217
RPB1,p0218
RPB2,p0219
RPB7,p0220
RPR1A,p0221
RPRD1B,p0222
RRP44,p0223
RS10,p0224
RS12,p0225
RS13,p0226
RPS14,p0227
RS15A,p0228
RS17,p0229
RS18,p0230
RPS3,p0231
RS3A,p0232
RS4X,p0233
RS6,p0234
RS7,p0235
RS8,p0236
SNRPN,p0237
SNRNP70,p0238
RU1C,p0239
SNRPA1,p0240
RUVBL2,p0241
RUXE,p0242
RUXF,p0243
RUXG,p0244
S10A4,p0245
S100A11,p0246
SAP30BP,p0247
SAE2,p0248
SAFB1,p0249
SAHH,p0250
SERC,p0251
NANS,p0252
SK2L2,p0253
SMARCA5,p0254
SmD1,p0255
SNRPD2,p0256
SmD3,p0257
SMN,p0258
SNR40,p0259
SART1,p0260
SNUT2,p0261
SUPT16H,p0262
SPB6,p0263
BCAS2,p0264
SPF45,p0265
SPS1,p0266
SPT5H,p0267
SPT6H,p0268
SRp38,p0269
SRS11,p0270
SYF1,p0271
T2FB,p0272
TCP4,p0273
TCRG1,p0274
TF3C1,p0275
TF3C4,p0276
TFP11,p0277
TXN,p0278
TIAL1,p0279
TRIM28,p0280
TPI1,p0281
TR150,p0282
TRA2A,p0283
TYSY,p0284
SNRNP200,p0285
U5S1,p0286
UBE2M,p0287
UBE2I,p0288
USP5,p0289
UBP7,p0290
VIR,p0291
XPO2,p0292
YBOX1,p0293
YTDC1,p0294
ZC11A,p0295
ZFC3H1,p0296
ZC3HD,p0297
ZC3HE,p0298
ZC3H18,p0299
ZN326,p0300
ZN638,p0301
EIF3F,p0302
SAP18,p0303
CHD1,p0304
HAT1,p0305
CRM1,p0306
BTAF1,p0307
HMGB3,p0308
DHX15,p0309
PRPF3,p0310
PPIH,p0311
PLRG1,p0312
BUB3,p0313
AKAP8,p0314
DHX16,p0315
AQR,p0316
