l_ID,p_ID
l00000,p000
l00001,p001
l00002,p001
l00003,p002
l00004,p002
l00005,p002
l00006,p001
l00007,p002
l00008,p003
l00009,p003
l00010,p004
l00011,p002
l00012,p001
l00013,p004
l00014,p004
l00014,p005
l00014,p006
l00015,p002
l00015,p001
l00016,p001
l00017,p001
l00018,p001
l00019,p001
l00020,p001
l00021,p001
l00021,p002
l00022,p002
l00023,p002
l00024,p002
l00025,p007
l00025,p008
l00025,p009
l00026,p001
l00027,p002
l00028,p002
l00029,p001
l00029,p002
l00030,p001
l00030,p002
l00031,p001
l00032,p002
l00033,p001
l00034,p001
l00035,p001
l00036,p001
l00037,p001
l00038,p001
l00039,p002
l00040,p001
l00041,p001
l00042,p002
l00043,p001
l00044,p001
l00045,p002
l00046,p001
l00047,p002
l00048,p002
l00049,p010
l00049,p011
l00049,p012
l00050,p013
l00051,p014
l00051,p003
l00052,p015
l00053,p016
l00053,p017
l00053,p011
l00053,p015
l00053,p018
l00053,p019
l00054,p002
l00055,p020
l00056,p021
l00056,p022
l00056,p023
l00056,p015
l00056,p024
l00056,p025
l00057,p020
l00057,p026
l00057,p023
l00057,p015
l00057,p024
l00057,p025
l00058,p026
l00058,p015
l00058,p024
l00058,p025
l00059,p027
l00059,p021
l00059,p028
l00059,p023
l00059,p015
l00060,p026
l00060,p023
l00060,p029
l00061,p020
l00061,p021
l00061,p026
l00061,p022
l00061,p023
l00062,p021
l00062,p026
l00062,p023
l00062,p015
l00062,p024
l00062,p025
l00063,p021
l00063,p026
l00063,p028
l00063,p022
l00063,p023
l00064,p021
l00065,p021
l00065,p026
l00065,p015
l00065,p024
l00065,p025
l00066,p021
l00066,p023
l00066,p015
l00066,p024
l00066,p025
l00067,p021
l00067,p030
l00067,p024
l00068,p021
l00068,p023
l00068,p015
l00068,p024
l00068,p025
l00069,p026
l00069,p028
l00069,p025
l00070,p021
l00070,p026
l00070,p022
l00070,p023
l00070,p015
l00070,p024
l00070,p025
l00071,p021
l00071,p026
l00071,p023
l00072,p021
l00072,p028
l00072,p030
l00073,p021
l00073,p026
l00073,p028
l00073,p023
l00073,p015
l00073,p024
l00073,p025
l00074,p020
l00074,p030
l00074,p029
l00075,p020
l00076,p021
l00076,p026
l00077,p020
l00077,p030
l00077,p023
l00077,p015
l00078,p023
l00079,p021
l00079,p026
l00079,p022
l00079,p023
l00079,p015
l00079,p024
l00079,p025
l00080,p027
l00080,p026
l00080,p023
l00081,p020
l00081,p021
l00081,p026
l00081,p022
l00082,p021
l00082,p026
l00082,p028
l00083,p020
l00083,p028
l00083,p015
l00083,p024
l00083,p025
l00084,p027
l00084,p021
l00084,p023
l00059,p030
l00059,p024
l00059,p025
l00085,p020
l00085,p021
l00085,p028
l00085,p023
l00085,p029
l00085,p025
l00086,p027
l00086,p028
l00086,p015
l00086,p024
l00086,p029
l00086,p025
l00087,p027
l00087,p023
l00087,p015
l00087,p029
l00088,p030
l00088,p015
l00088,p029
l00088,p025
l00089,p021
l00089,p023
l00090,p026
l00090,p028
l00090,p023
l00090,p015
l00091,p021
l00091,p026
l00092,p026
l00092,p023
l00092,p015
l00092,p024
l00092,p025
l00093,p027
l00093,p021
l00093,p015
l00093,p029
l00094,p026
l00094,p028
l00094,p022
l00094,p015
l00094,p024
l00094,p025
l00095,p022
l00095,p023
l00095,p015
l00096,p020
l00096,p021
l00097,p023
l00097,p015
l00097,p025
l00098,p027
l00098,p026
l00098,p028
l00098,p015
l00098,p025
l00099,p030
l00100,p027
l00100,p023
l00101,p026
l00101,p028
l00101,p023
l00101,p015
l00101,p029
l00101,p025
l00102,p028
l00102,p022
l00102,p023
l00102,p029
l00103,p026
l00103,p015
l00103,p024
l00103,p025
l00104,p026
l00104,p028
l00104,p015
l00105,p026
l00105,p022
l00105,p023
l00106,p020
l00106,p027
l00106,p021
