Symbol,Gene ID,l_ID
A130040M12Rik,-,l00000
AF030089,-,l00001
AF050659,-,l00002
AF267752,-,l00003
AF322224,-,l00004
AF435963,-,l00005
AF545831,-,l00006
AJ437403,-,l00007
AK081227,-,l00008
AK087060?,-,l00009
Alu-RARNA,-,l00010
AY007691,-,l00011
AY383714,-,l00012
B1 RNA,-,l00013
B2 RNA,NONMMUNOBEDT076234,l00014
BC063168,-,l00015
BC064030,-,l00016
BC085903,-,l00017
BC088258,-,l00018
BC088349,-,l00019
BC090353,-,l00020
BC094214,-,l00021
BC097997,-,l00022
BC099096,-,l00023
BC099234,-,l00024
BC1,NONMMUT062758,l00025
BC100074,-,l00026
BC111077,-,l00027
BC158613,-,l00028
BC158671,-,l00029
BC158675,-,l00030
BC158811,-,l00031
BC161977,-,l00032
BC161988,-,l00033
BC166474,-,l00034
BC166798,-,l00035
BC166932,-,l00036
BC166935,-,l00037
BC167004,-,l00038
BC168162,-,l00039
BC168954,-,l00040
BC169038,-,l00041
BC169100,-,l00042
DQ266361,-,l00043
DQ359102,-,l00044
DQ832324,-,l00045
EF094477,-,l00046
EF613276,-,l00047
EF688596,-,l00048
Fendrr,NONMMUG041781,l00049
Gomafu,NONMMUT069262,l00050
H19,NONMMUG039673,l00051
HOTAIR,NONMMUG017647,l00052
Kcnq1ot1,NONMMUG039685,l00053
L22653,-,l00054
linc1239,NONMMUG002214,l00055
Gm11974,NONMMUG005256,l00056
Gm16516,NONMMUG006319,l00057
3110056K07Rik,NONMMUG009216,l00058
Gm2373,NONMMUG011683,l00059
linc1287,NONMMUG012356,l00060
linc1288,NONMMUG013483,l00061
linc1289,NONMMUG013966,l00062
1700001L05Rik,NONMMUG015092,l00063
linc1294,NONMMUG015351,l00064
linc1317,NONMMUG020673,l00065
AC104908.1,NONMMUG026480,l00066
linc1335,NONMMUG027202,l00067
linc1343,NONMMUG030867,l00068
linc1349,-,l00069
5430416N02Rik,NONMMUG033102,l00070
linc1379,-,l00071
linc1382,NONMMUG037865,l00072
linc1385,NONMMUG038160,l00073
linc1388,NONMMUG039373,l00074
4933436C20Rik,NONMMUG041273,l00075
5530601H04Rik,NONMMUG045607,l00076
C330013F16Rik,NONMMUG045923,l00077
linc1417,-,l00078
linc1422,-,l00079
linc1423,NONMMUG001887,l00080
linc1439,-,l00081
NONMMUG007313,NONMMUG007314,l00082
linc1458,NONMMUG009968,l00083
linc1463,-,l00084
linc1476,NONMMUG014644,l00085
