Protein,p_ID
Sfpq,p000
Sin3A,p001
coREST,p002
MeCP2,p003
PolII,p004
RPB2,p005
RPB1,p006
PABP,p007
p190RhoGEF,p008
FMRP,p009
WDR5,p010
Ezh2,p011
SUZ12,p012
SF1,p013
MBD1,p014
PRC2,p015
CTCF,p016
Dnmt1,p017
PRC1,p018
G9a,p019
CBX3,p020
SUV39H1,p021
SETD8,p022
CBX1,p023
JARID1B,p024
RING1B,p025
ESET,p026
HDAC1,p027
JARID1C,p028
Tip60,p029
YY1,p030
Purb,p031
MLL1,p032
Ddx5,p033
Brg1,p034
TERRA,p035
TERT,p036
TEP1,p037
SmB,p038
snrpa,p039
SmN,p040
Snrp1C,p041
70kDa,p042
SF3b,p043
Ncl,p044
P110,p045
SLBP,p046
Celf1,p047
Ciz1,p048
Ddx17,p049
Ddx39a,p050
Ddx39b,p051
Dhx9,p052
Eif4a3,p053
Elavl1,p054
Erh,p055
Fubp3,p056
Fus,p057
Hmgb1,p058
Hnrnpa0,p059
Hnrnpa1,p060
Hnrnpa2b1,p061
Hnrnpa3,p062
Hnrnpab,p063
Hnrnpc,p064
Hnrnpd,p065
Hnrnph3,p066
hnRNP-K,p067
Hnrnpl,p068
Hnrnpm,p069
Hnrnpr,p070
Hnrnpu,p071
Hnrnpul2,p072
Hnrpdl,p073
Hnrpll,p074
Igf2bp1,p075
Igf2bp3,p076
Ilf2,p077
Ilf3,p078
Khdrbs1,p079
Khsrp,p080
L1td1,p081
Lin28a,p082
Matr3,p083
Mybbp1a,p084
Myef2,p085
Nono,p086
Pcgf5,p087
Poldip3,p088
Ptbp1,p089
Ptbp2,p090
Raly,p091
Rbfox2,p092
Rbm14,p093
Rbm15,p094
Rbm3,p095
Rbm4,p096
Rbmxl1,p097
Rnf20,p098
Rnmt,p099
Rybp,p100
Safb,p101
Safb2,p102
Sap18,p103
Sarnp,p104
Sltm,p105
Spen,p106
Srrt,p107
Srsf10,p108
Srsf2,p109
Srsf3,p110
Srsf5,p111
Srsf7,p112
Srsf9,p113
Ssb,p114
Syncrip,p115
Tardbp,p116
Thoc4,p117
Tra2b,p118
Trim6,p119
Trim71,p120
Wtap,p121
Xrn2,p122
Ythdc1,p123
Zfr,p124
Sfrs1,p125
Ssa2,p126
SF3a,p127
Rnu3ip2,p128
IQGAP,p129
NF-L,p130
Upf1,p131
Mbnl1,p132
Rbfox3,p133
Mbnl3,p134
JARID2,p135
Cpsf6,p136
RANBP9,p137
Mbnl2,p138
Adenomatous polyposis coli (APC),p139
PKR,p140
SRSF4,p141
Coilin,p142
AGO2,p143
Nova1,p144
PABPC1,p145
Tdp43,p146
QKI,p147
PSPC1,p148
FMR1,p149
FUS,p150
DAZL,p151
RFOX2,p152
AGO1,p153
AGO4,p154
TTP,p155
EED,p156
Pou5f1,p157
TYY1,p158
-,p159
PABP1,p160
MSI2H,p161
VIGLN,p162
CBX7,p163
RBM10,p164
TIA1,p165
SFPQ,p166
KPYM,p167
NF-κB p65,p168
YB-1,p169
β-catenin,p170
PINK1,p171
Beclin-1,p172
EZH2,p173
GR,p174
CIZ1,p175
Bim,p176
E-selectin,p177
PTBP1,p178
CNBP,p179
TLR4,p180
FOXM1,p181
P2X7,p182
HuR,p183
ANXA2,p184
MOV10,p185
Ago2,p186
LIN28B,p187
Pum2,p188
PUM2,p189
LIN28A,p190
Dazl,p191
SOX2,p192
m6A,p193
CELF6,p194
CSDE1,p195
YTHDC2,p196
Ythdf1,p197
Nova,p198
Elav1,p199
Rnps1,p200
Srsf1,p201
hnRNPL,p202
hnRNP H,p203
DDX18,p204
AID,p205
ALKBH1,p206
hnRNPF,p207
NLRP3,p208
NPM1,p209
p300,p210
PTBP3,p211
Mettl3,p212
QK-6,p213
IDH1,p214
Srsf11,p215
Smchd1,p216
DDX5,p217
Srrm4,p218
TET2,p219
LIN28,p220
USP17,p221
ELAVL1,p222
PARP-1,p223
Mst1,p224
Sugt1,p225
KDM5A,p226
Mterf1,p227
HMGB1,p228
rela,p229
Ep300,p230
YAP1,p231
GLIS3,p232
MYD88,p233
Sp1,p234
Igf2bp2,p235
Angpt1,p236
Smad2,p237
FOSL2,p238
TAF15,p239
