NoncodeGeneID,LncbookGeneID,l_ID
-,HSALNG0000002,l00000
-,HSALNG0000003,l00001
-,HSALNG0000004,l00002
-,HSALNG0000005,l00003
NONHSAG000004.2,HSALNG0000006,l00004
NONHSAG058641.2,HSALNG0000007,l00005
-,HSALNG0142075,l00006
-,HSALNG0141640,l00007
-,HSALNG0000013,l00008
-,HSALNG0142076,l00009
NONHSAG000012.2,HSALNG0000014,l00010
NONHSAG056039.1,HSALNG0000015,l00011
NONHSAG000014.2,HSALNG0000016,l00012
-,HSALNG0142077,l00013
-,HSALNG0141642,l00014
-,HSALNG0141643,l00015
-,HSALNG0000021,l00016
-,HSALNG0000020,l00017
-,HSALNG0000017,l00018
-,HSALNG0000022,l00019
-,HSALNG0000023,l00020
-,HSALNG0000028,l00021
-,HSALNG0000029,l00022
-,HSALNG0000033,l00023
NONHSAG104757.1,HSALNG0000034,l00024
NONHSAG056041.1,HSALNG0000035,l00025
NONHSAG000042.2,HSALNG0000036,l00026
NONHSAG056042.1,HSALNG0000037,l00027
-,HSALNG0000038,l00028
NONHSAG057401.1,HSALNG0000039,l00029
NONHSAG000047.3,HSALNG0000041,l00030
NONHSAG000049.3,HSALNG0000042,l00031
-,HSALNG0000043,l00032
NONHSAG057402.1,HSALNG0000044,l00033
-,HSALNG0000045,l00034
-,HSALNG0000046,l00035
-,HSALNG0000051,l00036
-,HSALNG0000052,l00037
-,HSALNG0000054,l00038
-,HSALNG0000055,l00039
NONHSAG057403.1,HSALNG0000057,l00040
-,HSALNG0000065,l00041
-,HSALNG0000070,l00042
-,HSALNG0000072,l00043
-,HSALNG0000076,l00044
NONHSAG000070.3,HSALNG0000078,l00045
-,HSALNG0000079,l00046
-,HSALNG0000080,l00047
-,HSALNG0000084,l00048
-,HSALNG0000085,l00049
NONHSAG057407.1,HSALNG0000086,l00050
NONHSAG105254.1,HSALNG0000087,l00051
NONHSAG105255.1,HSALNG0000088,l00052
-,HSALNG0000089,l00053
-,HSALNG0141645,l00054
-,HSALNG0141646,l00055
-,HSALNG0000097,l00056
-,HSALNG0000098,l00057
-,HSALNG0142079,l00058
NONHSAG000076.2,HSALNG0142080,l00059
-,HSALNG0000119,l00060
NONHSAG104768.1,HSALNG0000120,l00061
NONHSAG000082.3,HSALNG0000121,l00062
NONHSAG104770.1,HSALNG0000124,l00063
-,HSALNG0000125,l00064
-,HSALNG0000131,l00065
NONHSAG000091.2,HSALNG0000133,l00066
-,HSALNG0000137,l00067
NONHSAG000092.2,HSALNG0000140,l00068
-,HSALNG0000141,l00069
NONHSAG000098.2,HSALNG0000148,l00070
NONHSAG000099.2,HSALNG0000149,l00071
-,HSALNG0000150,l00072
-,HSALNG0000152,l00073
NONHSAG000102.2,HSALNG0000153,l00074
-,HSALNG0000155,l00075
-,HSALNG0000156,l00076
-,HSALNG0000160,l00077
-,HSALNG0000161,l00078
-,HSALNG0000162,l00079
-,HSALNG0000163,l00080
-,HSALNG0000176,l00081
-,HSALNG0000179,l00082
-,HSALNG0000180,l00083
NONHSAG000118.2,HSALNG0000181,l00084
-,HSALNG0000189,l00085
-,HSALNG0000194,l00086
NONHSAG056055.1,HSALNG0000199,l00087
NONHSAG000130.3,HSALNG0000200,l00088
-,HSALNG0000215,l00089
-,HSALNG0000216,l00090
-,HSALNG0000217,l00091
-,HSALNG0000219,l00092
NONHSAG000136.3,HSALNG0000220,l00093
NONHSAG057417.1,HSALNG0000221,l00094
-,HSALNG0000223,l00095
NONHSAG056057.1,HSALNG0000224,l00096
NONHSAG000139.2,HSALNG0142083,l00097
NONHSAG000140.2,HSALNG0000228,l00098
NONHSAG057419.1,HSALNG0000229,l00099
-,HSALNG0000230,l00100
-,HSALNG0000231,l00101
NONHSAG000142.2,HSALNG0000232,l00102
-,HSALNG0000233,l00103
NONHSAG056059.1,HSALNG0000238,l00104
-,HSALNG0000242,l00105
-,HSALNG0000248,l00106
NONHSAG057421.1,HSALNG0000249,l00107
-,HSALNG0000257,l00108
-,HSALNG0000262,l00109
-,HSALNG0142085,l00110
NONHSAG000158.2,HSALNG0000265,l00111
NONHSAG000159.2,HSALNG0000266,l00112
-,HSALNG0000273,l00113
-,HSALNG0000275,l00114
-,HSALNG0000279,l00115
NONHSAG056061.1,HSALNG0000280,l00116
NONHSAG000167.2,HSALNG0000281,l00117
-,HSALNG0142087,l00118
-,HSALNG0000283,l00119
NONHSAG057427.1,HSALNG0000285,l00120
-,HSALNG0000288,l00121
-,HSALNG0141652,l00122
-,HSALNG0000294,l00123
-,HSALNG0000295,l00124
-,HSALNG0000302,l00125
NONHSAG000181.3,HSALNG0000303,l00126
-,HSALNG0000313,l00127
-,HSALNG0000315,l00128
-,HSALNG0000316,l00129
-,HSALNG0000318,l00130
-,HSALNG0000336,l00131
-,HSALNG0000337,l00132
-,HSALNG0000339,l00133
NONHSAG000194.2,HSALNG0000341,l00134
NONHSAG000195.3,HSALNG0000343,l00135
NONHSAG056068.1,HSALNG0000349,l00136
