NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG049124.2,HSALNG0062254,l00000
NONHSAG047319.2,HSALNG0057178,l00001
NONHSAG087418.2,HSALNG0033093,l00002
NONHSAG029790.3,HSALNG0020305,l00003
NONHSAG022655.3,HSALNG0118540,l00004
NONHSAG048832.3,HSALNG0061418,l00005
NONHSAG028795.3,HSALNG0017514,l00006
NONHSAG016514.3,HSALNG0105023,l00007
NONHSAG075131.2,HSALNG0121077,l00008
NONHSAG070960.2,HSALNG0108391,l00009
NONHSAG024979.2,HSALNG0124349,l00010
NONHSAG070257.2,HSALNG0105193,l00011
NONHSAG025352.3,HSALNG0125033,l00012
NONHSAG090943.2,HSALNG0041494,l00013
NONHSAG019462.2,HSALNG0111460,l00014
NONHSAG027682.2,HSALNG0014732,l00015
NONHSAG027951.2,HSALNG0015452,l00016
NONHSAG099530.1,HSALNG0150241,l00017
NONHSAG029331.3,HSALNG0018958,l00018
-,HSALNG0005160,l00019
NONHSAG031749.3,HSALNG0129980,l00020
NONHSAG032461.3,HSALNG0132142,l00021
NONHSAG015073.2,HSALNG0101546,l00022
NONHSAG013770.3,HSALNG0097939,l00023
NONHSAG013319.3,HSALNG0096600,l00024
NONHSAG015169.3,HSALNG0101765,l00025
NONHSAG045376.2,HSALNG0055052,l00026
NONHSAG034227.3,-,l00027
NONHSAG018621.3,HSALNG0144675,l00028
NONHSAG004197.3,HSALNG0010286,l00029
NONHSAG045383.2,HSALNG0055052,l00030
NONHSAG036523.3,HSALNG0030208,l00031
NONHSAG003504.3,HSALNG0008545,l00032
NONHSAG007409.2,HSALNG0082178,l00033
NONHSAG036615.2,-,l00034
NONHSAG055008.3,HSALNG0139259,l00035
NONHSAG063480.2,HSALNG0084880,l00036
NONHSAG103817.2,HSALNG0138610,l00037
NONHSAG020957.2,HSALNG0114857,l00038
NONHSAG081583.2,HSALNG0130661,l00039
NONHSAG100889.2,HSALNG0068477,l00040
NONHSAG044006.2,HSALNG0050810,l00041
NONHSAG099742.2,HSALNG0068395,l00042
NONHSAG052726.3,HSALNG0072437,l00043
NONHSAG102572.2,HSALNG0070362,l00044
-,HSALNG0034888,l00045
NONHSAG053033.3,HSALNG0073236,l00046
NONHSAG051231.2,HSALNG0068359,l00047
NONHSAG038486.3,HSALNG0035985,l00048
NONHSAG009415.2,HSALNG0086562,l00049
NONHSAG012484.2,HSALNG0094471,l00050
NONHSAG111830.1,HSALNG0035595,l00051
NONHSAG031557.3,HSALNG0129429,l00052
NONHSAG093517.2,HSALNG0052788,l00053
NONHSAG032190.3,HSALNG0131386,l00054
NONHSAG000477.3,HSALNG0001209,l00055
NONHSAG059768.2,HSALNG0009511,l00056
NONHSAG048962.2,-,l00057
NONHSAG013515.3,HSALNG0097094,l00058
NONHSAG068402.2,HSALNG0098601,l00059
NONHSAG013524.2,HSALNG0097105,l00060
NONHSAG072176.2,HSALNG0111608,l00061
NONHSAG020099.2,HSALNG0112990,l00062
NONHSAG073380.2,HSALNG0118851,l00063
NONHSAG025379.3,HSALNG0125113,l00064
NONHSAG029468.2,HSALNG0019362,l00065
NONHSAG029952.3,HSALNG0020702,l00066
NONHSAG033390.3,HSALNG0134280,l00067
NONHSAG033611.3,HSALNG0134754,l00068
NONHSAG036383.2,HSALNG0029787,l00069
NONHSAG040081.3,HSALNG0040781,l00070
NONHSAG093517.2,HSALNG0052787,l00071
NONHSAG048073.3,HSALNG0059170,l00072
NONHSAG048057.3,HSALNG0059132,l00073
NONHSAG007080.2,HSALNG0081239,l00074
NONHSAG030469.2,HSALNG0022111,l00075
NONHSAG007767.2,HSALNG0082946,l00076
NONHSAG015097.3,HSALNG0101614,l00077
NONHSAG055499.3,HSALNG0140624,l00078
NONHSAG006341.3,HSALNG0079152,l00079
NONHSAG041023.3,HSALNG0043527,l00080
NONHSAG041473.3,HSALNG0044712,l00081
NONHSAG043391.3,HSALNG0049109,l00082
NONHSAG029791.3,HSALNG0020310,l00083
NONHSAG002651.3,-,l00084
NONHSAG025958.2,HSALNG0126395,l00085
NONHSAG037679.2,HSALNG0033494,l00086
NONHSAG038059.2,HSALNG0034781,l00087
NONHSAG038091.3,HSALNG0034888,l00088
NONHSAG001462.2,HSALNG0003595,l00089
NONHSAG039105.3,HSALNG0037864,l00090
NONHSAG039294.2,HSALNG0038442,l00091
NONHSAG001587.2,HSALNG0003852,l00092
NONHSAG037780.2,HSALNG0033947,l00093
