tarName,p_ID
EWSR1,p000
HNRNPU,p001
DKC1,p002
hnRNPC,p003
HNRNPA1,p004
PSF,p005
SFRS1,p006
DBHS,p007
SMARCA4,p008
TARDBP,p009
ELAVL1,p010
HNRPG,p011
hnRNPM,p012
IF2B1,p013
IGF2BP3,p014
SSB,p015
MOV10,p016
TIAL1,p017
YTDC1,p018
U2AF2,p019
FUS,p020
U2AF1,p021
SAKI,p022
CPSF6,p023
WDR33,p024
XPO5,p025
FBL,p026
SRSF9,p027
SFRS7,p028
SFRS2,p029
AGO2,p030
Coilin,p031
RBPMS,p032
hnRNPL,p033
ADAR,p034
LIN28B,p035
PUM2,p036
HNRNPD,p037
IGF2BP2,p038
EIF3G,p039
QKI,p040
ORF57,p041
TNRC6A,p042
RPS11,p043
ZFP36,p044
PRPF8,p045
DDX42,p046
Caprin1,p047
PUS1,p048
PCBP2,p049
DGCR8,p050
MATR3,p051
TARBP2,p052
DDX6,p053
HNRNPUL1,p054
AKAP8L,p055
YTHDF1,p056
NPM1,p057
TBRG4,p058
TIA1,p059
IGF2BP1,p060
TAF15,p061
EIF2C1,p062
PTBP1,p063
RBFOX2,p064
RBM47,p065
HNRH1,p066
hnRNPA2B1,p067
HNRNPF,p068
EZH2,p069
CPSF7,p070
CPSF4,p071
CPSF3,p072
CPSF2,p073
CPSF1,p074
CSTF2,p075
CSTF2T,p076
C17ORF85,p077
ALKBH5,p078
RTCB,p079
ZC3H7B,p080
CPSF5,p081
FMR1,p082
FXR2,p083
FXR1,p084
eIF4AIII,p085
LIN28A,p086
YTHDF2,p087
Ataxin-2,p088
TDP-43,p089
RBM5,p090
RBM6,p091
RBM10,p092
UPF1,p093
METTL3,p094
BCCIP,p095
BUD13,p096
DDX3X,p097
DDX55,p098
DDX59,p099
DHX30,p100
EIF3D,p101
EIF3H,p102
FAM120A,p103
FAKD2,p104
FKBP4,p105
FUBP3,p106
GRSF1,p107
GRWD1,p108
HNRPK,p109
ILF3,p110
LARP4,p111
hLARP7,p112
LSM11,p113
NCBP2,p114
NKRF,p115
NOL12,p116
NOLC1,p117
PPIG,p118
PRP17,p119
RBM15,p120
RBM22,p121
RNC,p122
Ro60,p123
RPB7,p124
RPS3,p125
SAP61,p126
SAP49,p127
SLTM,p128
SND1,p129
SMNDC1,p130
SUGP2,p131
SUV3,p132
T2FA,p133
TCP4,p134
TRA2A,p135
U5S1,p136
UCHL5,p137
XRCC6,p138
XRN2,p139
ZC11A,p140
YWHAG,p141
AGGF1,p142
DDX24,p143
EXOS5,p144
FTO,p145
FUBP2,p146
GEMI5,p147
GNL3,p148
GPKOW,p149
HLTF,p150
IF2B2,p151
EIF4G2,p152
KHDR1,p153
METAP2,p154
SERBP1,p155
PAPD1,p156
PPIL4,p157
SAFB2,p158
SBDS,p159
SAP155,p160
SLBP,p161
SYAC,p162
YBOX3,p163
ZNF622,p164
ZRAB2,p165
RBM39,p166
RC3H1,p167
ELAVL2,p168
ELAV3,p169
CELF4,p170
RRP44,p171
AGO3,p172
AGO4,p173
MSI1H,p174
MBNL2,p175
LAR4B,p176
SPPL3,p177
MBNL1,p178
ACIN1,p179
RNMT,p180
CBX7,p181
DDX54,p182
HDAC9,p183
ZMAT3,p184
SP1,p185
SOX2,p186
DHX36,p187
Ago2,p188
Igf2bp3,p189
Pum2,p190
Dazl,p191
AIMP1,p192
EXOSC10,p193
FUBP1,p194
m6A,p195
KHDRBS2,p196
TRIM25,p197
ZC3HAV1,p198
RPL5,p199
CELF6,p200
CSDE1,p201
YTHDC2,p202
FMRP,p203
Ythdf1,p204
Nova,p205
METTL1,p206
DDX5,p207
Elav1,p208
DR1,p209
hnRNP H,p210
DDX18,p211
Srsf1,p212
AID,p213
ALKBH1,p214
hnRNPF,p215
NLRP3,p216
p300,p217
PTBP3,p218
Trim71,p219
Spen,p220
Mettl3,p221
CHMP3,p222
TOB2,p223
MEX3C,p224
MTDH,p225
PCBP1,p226
RELA,p227
MTA1,p228
