NoncodeGeneID,tarName
NONMMUG000087.2,Upf1
NONMMUG000087.2,Tdp43
NONMMUG000087.2,Fus
NONMMUG000088.2,Tdp43
NONMMUG000088.2,Fus
NONMMUG000089.2,Fus
NONMMUG000089.2,JARID2
NONMMUG000089.2,Upf1
NONMMUG000089.2,Tardbp
NONMMUG000089.2,Tdp43
NONMMUG000090.2,Upf1
NONMMUG000090.2,Fus
NONMMUG000090.2,Tdp43
NONMMUG000090.2,Celf1
NONMMUG000091.2,Upf1
NONMMUG000091.2,Fus
NONMMUG000091.2,Tdp43
NONMMUG001462.2,Tdp43
NONMMUG001464.2,Upf1
NONMMUG087561.1,Fus
NONMMUG087561.1,Tdp43
NONMMUG087561.1,FMRP
NONMMUG000097.2,Upf1
NONMMUG000097.2,FMRP
NONMMUG000097.2,Fus
NONMMUG000097.2,Tdp43
NONMMUG000098.2,Fus
NONMMUG000099.2,Upf1
NONMMUG000099.2,Tdp43
NONMMUG000099.2,Fus
NONMMUG047967.1,Fus
NONMMUG046502.1,Tdp43
NONMMUG000100.2,Tdp43
NONMMUG000100.2,Fus
NONMMUG000100.2,Upf1
NONMMUG000100.2,FMRP
NONMMUG000100.2,Celf1
NONMMUG000100.2,Mbnl1
NONMMUG000100.2,JARID2
NONMMUG001469.2,Tdp43
NONMMUG001469.2,FMRP
NONMMUG001469.2,Upf1
NONMMUG001471.2,Fus
NONMMUG001471.2,Tdp43
NONMMUG046503.1,Upf1
NONMMUG046503.1,Fus
NONMMUG046503.1,Tdp43
NONMMUG001472.2,Fus
NONMMUG001472.2,Tdp43
NONMMUG001473.2,Tdp43
NONMMUG048632.1,Tdp43
NONMMUG001474.2,Tdp43
NONMMUG001475.2,Tdp43
NONMMUG001476.2,Tdp43
NONMMUG001477.2,Upf1
NONMMUG001477.2,Fus
NONMMUG001477.2,Tdp43
NONMMUG048639.1,Fus
NONMMUG048640.1,Upf1
NONMMUG048640.1,Tdp43
NONMMUG001478.2,Fus
NONMMUG001478.2,Tdp43
NONMMUG001479.2,Fus
NONMMUG001479.2,Tdp43
NONMMUG001479.2,FMRP
NONMMUG001480.2,Fus
NONMMUG001480.2,Tdp43
NONMMUG001483.2,Fus
NONMMUG001483.2,Tdp43
NONMMUG001483.2,Upf1
NONMMUG001484.2,Nova1
NONMMUG001484.2,Fus
NONMMUG001484.2,Tdp43
NONMMUG001485.2,Tdp43
NONMMUG001488.2,Tdp43
NONMMUG001490.2,Fus
NONMMUG001491.2,Tdp43
NONMMUG001493.2,Tdp43
NONMMUG001494.2,Upf1
NONMMUG001494.2,Fus
NONMMUG001494.2,Tdp43
NONMMUG001495.2,Fus
NONMMUG001498.2,Tdp43
NONMMUG001499.2,Tdp43
NONMMUG001499.2,Fus
NONMMUG001500.2,Tdp43
NONMMUG001500.2,PABPC1
NONMMUG001500.2,PABP1
NONMMUG001500.2,TIA1
NONMMUG001500.2,TTP
NONMMUG001500.2,PSPC1
NONMMUG001500.2,RFOX2
NONMMUG001500.2,Fus
NONMMUG001500.2,Pou5f1
NONMMUG001500.2,SFPQ
NONMMUG001501.2,Fus
NONMMUG001502.2,Tdp43
NONMMUG001502.2,Fus
NONMMUG001503.2,Fus
NONMMUG001503.2,Tdp43
NONMMUG001503.2,Tardbp
NONMMUG001504.2,Fus
NONMMUG001505.2,PABPC1
NONMMUG001505.2,Fus
NONMMUG001505.2,Tdp43
NONMMUG001506.2,Nova1
NONMMUG001506.2,Fus
NONMMUG001506.2,FMRP
NONMMUG001506.2,Tdp43
NONMMUG001507.2,Upf1
NONMMUG001507.2,Fus
NONMMUG001507.2,Tdp43
NONMMUG001515.2,Tdp43
NONMMUG001516.2,RFOX2
NONMMUG001517.2,Tdp43
NONMMUG000106.2,Tdp43
NONMMUG001522.2,Tdp43
NONMMUG001522.2,Fus
NONMMUG047968.1,Upf1
NONMMUG047968.1,Fus
NONMMUG047968.1,Tdp43
NONMMUG001525.2,Fus
NONMMUG001526.2,Fus
NONMMUG001526.2,Tdp43
NONMMUG001526.2,Celf1
NONMMUG001526.2,FMRP
NONMMUG001529.2,Tdp43
NONMMUG001530.2,Tdp43
NONMMUG000107.2,Upf1
NONMMUG000107.2,FMRP
NONMMUG000107.2,Fus
NONMMUG000107.2,Tdp43
NONMMUG000108.2,Tdp43
NONMMUG000108.2,Fus
NONMMUG000108.2,FMRP
NONMMUG000108.2,Celf1
NONMMUG001533.2,Upf1
NONMMUG001539.2,PABP1
NONMMUG001539.2,TYY1
NONMMUG001539.2,JARID2
NONMMUG001539.2,Upf1
NONMMUG001539.2,FMRP
NONMMUG001539.2,Ezh2
NONMMUG001539.2,Tdp43
NONMMUG001539.2,PSPC1
NONMMUG001539.2,AGO2
NONMMUG001539.2,RFOX2
NONMMUG001539.2,SUZ12
