l_ID,p_ID
l00000,p00
l00000,p01
l00000,p02
l00001,p01
l00001,p02
l00002,p02
l00002,p03
l00002,p00
l00002,p04
l00002,p01
l00003,p00
l00003,p02
l00003,p01
l00003,p05
l00004,p00
l00004,p02
l00004,p01
l00005,p01
l00006,p00
l00007,p02
l00007,p01
l00007,p06
l00008,p00
l00008,p06
l00008,p02
l00008,p01
l00009,p02
l00010,p00
l00010,p01
l00010,p02
l00011,p02
l00012,p01
l00013,p01
l00013,p02
l00013,p00
l00013,p06
l00013,p05
l00013,p07
l00013,p03
l00014,p01
l00014,p06
l00014,p00
l00015,p02
l00015,p01
l00016,p00
l00016,p02
l00016,p01
l00017,p02
l00017,p01
l00018,p01
l00019,p01
l00020,p01
l00021,p01
l00022,p01
l00023,p00
l00023,p02
l00023,p01
l00024,p02
l00025,p00
l00025,p01
l00026,p02
l00026,p01
l00027,p02
l00027,p01
l00027,p06
l00028,p02
l00028,p01
l00029,p02
l00029,p01
l00029,p00
l00030,p08
l00030,p02
l00030,p01
l00031,p01
l00032,p01
l00033,p02
l00034,p01
l00035,p01
l00036,p00
l00036,p02
l00036,p01
l00037,p02
l00038,p01
l00039,p01
l00039,p02
l00040,p01
l00040,p09
l00040,p10
l00040,p11
l00040,p12
l00040,p13
l00040,p14
l00040,p02
l00040,p15
l00040,p16
l00041,p02
l00042,p01
l00042,p02
l00043,p02
l00043,p01
l00043,p04
l00044,p02
l00045,p09
l00045,p02
l00045,p01
l00046,p08
l00046,p02
l00046,p06
l00046,p01
l00047,p00
l00047,p02
l00047,p01
l00048,p01
l00049,p14
l00050,p01
l00051,p01
l00052,p01
l00052,p02
l00053,p00
l00053,p02
l00053,p01
l00054,p02
l00055,p02
l00055,p01
l00055,p05
l00055,p06
l00056,p01
l00057,p01
l00058,p00
l00058,p06
l00058,p02
l00058,p01
l00059,p01
l00059,p02
l00059,p06
l00059,p05
l00060,p00
l00061,p10
l00061,p17
l00061,p03
l00061,p00
l00061,p06
l00061,p18
l00061,p01
l00061,p13
l00061,p19
l00061,p14
l00061,p20
l00061,p21
l00061,p22
l00061,p15
l00061,p23
l00061,p24
l00061,p25
l00061,p26
l00061,p27
l00061,p12
l00062,p00
l00063,p10
l00063,p17
l00063,p03
l00063,p00
l00063,p06
l00063,p18
l00063,p01
l00063,p13
l00063,p19
l00063,p14
l00063,p20
l00063,p21
l00063,p22
l00063,p15
l00063,p23
l00063,p24
l00063,p25
l00063,p26
l00063,p27
l00063,p12
l00063,p28
l00063,p29
l00064,p00
l00064,p18
l00064,p23
l00064,p14
l00064,p03
l00064,p15
l00065,p02
l00065,p01
l00065,p00
l00065,p06
l00066,p02
l00067,p02
l00067,p01
l00067,p06
l00068,p06
l00069,p02
l00069,p01
l00070,p00
l00070,p01
l00070,p02
l00071,p00
l00071,p01
l00072,p02
l00072,p06
l00073,p08
l00073,p01
l00073,p02
l00073,p06
l00074,p02
l00075,p00
l00075,p01
l00075,p02
l00076,p03
l00076,p00
l00076,p02
l00076,p01
l00076,p06
l00077,p00
l00077,p01
l00077,p05
l00077,p02
l00077,p06
l00078,p00
l00078,p02
l00078,p01
l00079,p01
l00079,p02
