NoncodeGeneID,l_ID
NONMMUG000087.2,l00000
NONMMUG000088.2,l00001
NONMMUG000089.2,l00002
NONMMUG000090.2,l00003
NONMMUG000091.2,l00004
NONMMUG001462.2,l00005
NONMMUG001464.2,l00006
NONMMUG087561.1,l00007
NONMMUG000097.2,l00008
NONMMUG000098.2,l00009
NONMMUG000099.2,l00010
NONMMUG047967.1,l00011
NONMMUG046502.1,l00012
NONMMUG000100.2,l00013
NONMMUG001469.2,l00014
NONMMUG001471.2,l00015
NONMMUG046503.1,l00016
NONMMUG001472.2,l00017
NONMMUG001473.2,l00018
NONMMUG048632.1,l00019
NONMMUG001474.2,l00020
NONMMUG001475.2,l00021
NONMMUG001476.2,l00022
NONMMUG001477.2,l00023
NONMMUG048639.1,l00024
NONMMUG048640.1,l00025
NONMMUG001478.2,l00026
NONMMUG001479.2,l00027
NONMMUG001480.2,l00028
NONMMUG001483.2,l00029
NONMMUG001484.2,l00030
NONMMUG001485.2,l00031
NONMMUG001488.2,l00032
NONMMUG001490.2,l00033
NONMMUG001491.2,l00034
NONMMUG001493.2,l00035
NONMMUG001494.2,l00036
NONMMUG001495.2,l00037
NONMMUG001498.2,l00038
NONMMUG001499.2,l00039
NONMMUG001500.2,l00040
NONMMUG001501.2,l00041
NONMMUG001502.2,l00042
NONMMUG001503.2,l00043
NONMMUG001504.2,l00044
NONMMUG001505.2,l00045
NONMMUG001506.2,l00046
NONMMUG001507.2,l00047
NONMMUG001515.2,l00048
NONMMUG001516.2,l00049
NONMMUG001517.2,l00050
NONMMUG000106.2,l00051
NONMMUG001522.2,l00052
NONMMUG047968.1,l00053
NONMMUG001525.2,l00054
NONMMUG001526.2,l00055
NONMMUG001529.2,l00056
NONMMUG001530.2,l00057
NONMMUG000107.2,l00058
NONMMUG000108.2,l00059
NONMMUG001533.2,l00060
NONMMUG001539.2,l00061
NONMMUG000110.2,l00062
NONMMUG001538.2,l00063
NONMMUG047224.1,l00064
NONMMUG000111.2,l00065
NONMMUG046505.1,l00066
NONMMUG000112.2,l00067
NONMMUG001541.2,l00068
NONMMUG001542.2,l00069
NONMMUG001544.2,l00070
NONMMUG001545.2,l00071
NONMMUG001546.2,l00072
NONMMUG001547.2,l00073
NONMMUG000113.2,l00074
NONMMUG001552.2,l00075
NONMMUG001554.2,l00076
NONMMUG001556.2,l00077
NONMMUG001557.2,l00078
NONMMUG001558.2,l00079
NONMMUG048750.1,l00080
NONMMUG001559.2,l00081
NONMMUG001560.2,l00082
NONMMUG001564.2,l00083
NONMMUG001563.2,l00084
NONMMUG001567.2,l00085
NONMMUG048754.1,l00086
NONMMUG001569.2,l00087
NONMMUG001570.2,l00088
NONMMUG047234.1,l00089
NONMMUG047235.1,l00090
NONMMUG047239.1,l00091
NONMMUG001572.2,l00092
NONMMUG001573.2,l00093
NONMMUG001576.3,l00094
NONMMUG001578.2,l00095
NONMMUG001580.2,l00096
NONMMUG001583.2,l00097
NONMMUG001584.2,l00098
NONMMUG001585.2,l00099
NONMMUG001586.2,l00100
NONMMUG047244.1,l00101
NONMMUG001588.2,l00102
NONMMUG001590.2,l00103
NONMMUG001592.2,l00104
NONMMUG048759.1,l00105
NONMMUG001593.2,l00106
NONMMUG001601.3,l00107
NONMMUG047267.1,l00108
NONMMUG001604.2,l00109
NONMMUG048775.1,l00110
NONMMUG001605.2,l00111
NONMMUG047283.1,l00112
NONMMUG001607.2,l00113
NONMMUG001610.2,l00114
NONMMUG001613.2,l00115
NONMMUG001614.2,l00116
NONMMUG001619.2,l00117
NONMMUG001622.2,l00118
NONMMUG001623.2,l00119
NONMMUG001624.2,l00120
NONMMUG047295.1,l00121
NONMMUG001625.2,l00122
NONMMUG001626.2,l00123
NONMMUG001627.2,l00124
